epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,4154.7,0.71786,1.22086,1.13176,0.77954,0.74103,0.81677,0.71165,0.53712,0.80657,1.05529,0.006139,0.006139,0.006139
119,4188.88,0.72407,1.23158,1.13412,0.77063,0.74762,0.81698,0.71169,0.5372,0.80563,1.05541,0.006106,0.006106,0.006106
120,4223.5,0.72456,1.22761,1.13975,0.76965,0.74935,0.81811,0.71239,0.5369,0.80424,1.05539,0.006073,0.006073,0.006073
121,4258.04,0.71621,1.21917,1.1273,0.77446,0.74962,0.81852,0.71279,0.53679,0.803,1.05541,0.00604,0.00604,0.00604
122,4292.52,0.71806,1.21332,1.1327,0.78363,0.74386,0.81933,0.71372,0.53686,0.8013,1.0555,0.006007,0.006007,0.006007
123,4326.87,0.71415,1.21234,1.1278,0.77955,0.74925,0.81948,0.71399,0.53692,0.7999,1.05563,0.005974,0.005974,0.005974
124,4361.65,0.70879,1.19509,1.12837,0.78126,0.74939,0.81969,0.71412,0.53659,0.79882,1.05549,0.005941,0.005941,0.005941
125,4395.66,0.71162,1.19999,1.12985,0.78216,0.75016,0.82016,0.71438,0.53682,0.79746,1.05582,0.005908,0.005908,0.005908
126,4430.17,0.71147,1.18749,1.12753,0.78278,0.75073,0.82079,0.71509,0.53689,0.79674,1.056,0.005875,0.005875,0.005875
127,4464.54,0.70515,1.1797,1.12417,0.78119,0.75223,0.82102,0.7149,0.53666,0.79628,1.05583,0.005842,0.005842,0.005842
128,4498.83,0.70394,1.19016,1.12402,0.77918,0.75319,0.82147,0.71595,0.53633,0.79569,1.05552,0.005809,0.005809,0.005809
129,4532.99,0.70957,1.17985,1.12498,0.78116,0.75251,0.82189,0.71661,0.5361,0.79494,1.05528,0.005776,0.005776,0.005776
130,4567.75,0.70309,1.17172,1.12223,0.77385,0.75765,0.82178,0.71644,0.53596,0.79432,1.0551,0.005743,0.005743,0.005743
131,4601.97,0.69895,1.16601,1.11895,0.77327,0.75737,0.82181,0.71611,0.53576,0.79363,1.05489,0.00571,0.00571,0.00571
132,4635.9,0.6965,1.1427,1.1134,0.77556,0.75707,0.82238,0.71671,0.53595,0.79302,1.05493,0.005677,0.005677,0.005677
133,4670.57,0.69782,1.15383,1.12022,0.77831,0.75711,0.82259,0.71727,0.53592,0.79253,1.05499,0.005644,0.005644,0.005644
134,4705.05,0.70425,1.16163,1.12583,0.77712,0.75837,0.82262,0.7173,0.53608,0.79228,1.055,0.005611,0.005611,0.005611
135,4740.02,0.69823,1.14427,1.12147,0.77896,0.75676,0.82299,0.71744,0.53585,0.79181,1.05489,0.005578,0.005578,0.005578
136,4774.57,0.70473,1.14861,1.12383,0.79575,0.74454,0.82331,0.7183,0.53594,0.79146,1.05496,0.005545,0.005545,0.005545
137,4809.57,0.69232,1.13051,1.11592,0.79697,0.74399,0.82386,0.71858,0.53596,0.79111,1.05499,0.005512,0.005512,0.005512
138,4843.81,0.69596,1.13822,1.11847,0.7827,0.7546,0.82392,0.71845,0.53576,0.79041,1.05493,0.005479,0.005479,0.005479
139,4878.72,0.69751,1.13857,1.11963,0.78445,0.75318,0.82383,0.7184,0.53572,0.78996,1.05488,0.005446,0.005446,0.005446
140,4912.86,0.69955,1.13827,1.12039,0.78485,0.75527,0.82377,0.71811,0.53556,0.78953,1.05476,0.005413,0.005413,0.005413
141,4947.1,0.69246,1.1163,1.11659,0.78526,0.75477,0.82411,0.71817,0.53535,0.78907,1.05469,0.00538,0.00538,0.00538
142,4981.18,0.69559,1.12458,1.11744,0.78582,0.75453,0.82423,0.71794,0.5352,0.78859,1.05457,0.005347,0.005347,0.005347
143,5015.66,0.69087,1.11468,1.11389,0.78523,0.75285,0.8247,0.71845,0.53508,0.78851,1.05456,0.005314,0.005314,0.005314
144,5059.43,0.69187,1.11542,1.11686,0.78483,0.75529,0.82514,0.71894,0.53501,0.78777,1.05461,0.005281,0.005281,0.005281
145,5108.32,0.69228,1.11122,1.1138,0.79027,0.75261,0.82544,0.71911,0.53509,0.78705,1.0546,0.005248,0.005248,0.005248
146,5148.16,0.6888,1.09838,1.11427,0.79196,0.75197,0.82589,0.71986,0.53491,0.78664,1.05447,0.005215,0.005215,0.005215
147,5182.38,0.69002,1.11622,1.11646,0.79122,0.7543,0.82583,0.7198,0.53483,0.78622,1.05451,0.005182,0.005182,0.005182
148,5217.11,0.68762,1.10364,1.11811,0.78889,0.7581,0.82601,0.7204,0.53477,0.78565,1.05442,0.005149,0.005149,0.005149
149,5251.31,0.68853,1.09186,1.11449,0.78858,0.75855,0.82626,0.72055,0.53462,0.78513,1.05436,0.005116,0.005116,0.005116
150,5286.14,0.68393,1.0855,1.10865,0.78641,0.75921,0.82645,0.72063,0.53441,0.78473,1.05423,0.005083,0.005083,0.005083
151,5320.36,0.67903,1.07086,1.10317,0.78665,0.75921,0.82671,0.72109,0.53424,0.78393,1.05418,0.00505,0.00505,0.00505
